grdc	ArcID	lat	lon	river	station
1112100	48212	14.75	-11.25	SENEGAL	KAYES
1112300	48601	13.75	-11.25	SENEGAL	GALOUGO
1112330	48604	13.75	-9.75	BAOULE (TRIB. ATUI, SENEGAL)	SIRAMAKANA
1112340	48793	13.25	-9.75	BAKOYE	TOUKOTO
1112350	48792	13.25	-10.25	BAFING (TRIB. ATUI, SENEGAL)	DIBIA
1134050	49532	11.25	-8.25	SANKARANI	SELINGUE
1134100	48980	12.75	-7.75	NIGER	KOULIKORO
1134200	49170	12.25	-7.25	BAOULE (TRIB. NIGER)	DIOILA
1134220	49535	11.25	-6.75	BAGOE	PANKOUROU
1134300	48983	12.75	-6.25	BANI	DOUNA
1134310	49353	11.75	-5.75	BANIFING	KOUORO 2
1134480	48614	13.75	-4.75	BANI	SOFARA
1134500	48421	14.25	-4.25	NIGER	NANTAKA (MOPTI)
1134700	47605	16.25	-3.75	NIGER	DIRE
1134850	47177	17.25	-0.75	NIGER	TOSSAYE
1134900	47826	15.75	0.25	NIGER	ANSONGO
1147010	55374	-4.25	15.25	CONGO	KINSHASA
1147011	53778	-0.25	25.25	CONGO	PONTHIERVILLE
1147012	54973	-3.25	25.75	CONGO	KINDU
1147200	54956	-3.25	17.25	KASAI (TRIB. CONGO)	KUTU-MOKE
1147201	55578	-4.75	21.25	KASAI (TRIB. CONGO)	PORT-FRANCQUI
1159100	63986	-28.75	17.75	ORANGE	VIOOLSDRIF
1159130	64597	-30.75	20.25	SAK	HOL PADS LEEGTE (27814016)
1159300	63833	-28.25	21.25	ORANGE	UPINGTON
1159302	64153	-29.25	23.75	ORANGE	MARKSDRIFT (27815208)
1159303	64306	-29.75	24.25	ORANGE	VLUYTJESKRAAL (27815205)
1159650	64610	-30.75	26.75	ORANGE	ALIWAL NOORD (27819103)
1159800	63362	-26.75	28.25	VAAL	ELANDSFONTEIN ENGELBRECHTSDRIFT
1160460	65396	-33.75	24.75	GROOTRIVIER (ZA-EASTERN CAPE)	GROOTRIVIERSPOORT (27691206)
1160510	65286	-33.25	26.25	GROOT-VIS	BRANDT LEGTE PIGGOT'S BRIDGE
1160880	64012	-28.75	30.75	TUGELA	MANDINI (27661102)
1196100	62516	-24.25	30.75	ELEFANTES / OLIFANTSRIVIER	FINALE (27521009)
1196400	62154	-23.25	27.75	LIMPOPO	BOTSWANA OXENHAM RANCH
1196550	61783	-22.25	29.75	LIMPOPO	BEITBRUG U/S
1197500	62871	-25.25	31.75	KROKODILRIVIER (TRIB. INCOMATI)	TENBOSCH (27613216)
1234080	48235	14.75	0.25	GOROUOL	ALCONGUI
1234130	48815	13.25	1.25	SIRBA	GARBE-KOUROU
1234150	48627	13.75	1.75	NIGER	NIAMEY
1234180	48816	13.25	1.75	GOROUBI	DIONGORE AMONT
1234250	49371	11.75	3.25	NIGER	GAYA
1237500	48837	13.25	12.25	KOMADOUGOU YOBE	BAGARA DIFFA
1255100	59932	-17.25	14.25	CUNENE / KUNENE	RUACANA (64740001)
1257100	60125	-17.75	19.75	OKAVANGO / CUBANGO	RUNDU (64932101)
1257101	60128	-17.75	21.25	OKAVANGO / CUBANGO	MUKWE (64932102)
1258200	61002	-20.25	15.75	UGAB RIVER	VINGERKLIP (64734002)
1258201	61370	-21.25	13.75	UGAB RIVER	UGAB SLAB (64734003)
1258503	62128	-23.25	14.75	KUISEB RIVER	ROOIBANK (64731011)
1259100	63666	-27.75	17.75	FISH RIVER (NA)	AI-AIS (64812014)
1259101	63341	-26.75	17.75	FISH RIVER (NA)	SEEHEIM (64812008)
1259150	64465	-30.25	28.25	ORANGE	SEAKA BRIDGE (66819303)
1259350	62845	-25.25	18.75	AUOB RIVER	GOCHAS
1269600	54576	-2.25	34.25	GURUMETI	MUSOMA ROAD (55116003)
1271500	54369	-1.75	34.75	MARA	MARA MINES
1286660	56752	-7.75	36.75	GREAT RUAHA	MTERA
1286700	56944	-8.25	36.75	KILOMBERO	SWERO
1286900	56754	-7.75	37.75	RUFIJI	STIGLER
1287800	55991	-5.75	35.25	BUBU	BAHI
1289200	55612	-4.75	38.25	PANGANI	KOROGWE
1289450	56376	-6.75	38.75	RUVU	MOROGORO ROAD BRIDGE (55223108)
1291100	59952	-17.25	24.25	ZAMBEZI	KATIMA MULILO (64370001)
1291200	60132	-17.75	23.25	KWANDO RIVER	KONGOLA
1308600	37645	33.75	-3.75	MOULOUYA	DAR EL CAID
1309700	37336	34.25	-5.25	SEBOU	AZIB SOLTANE
1335014	50585	8.75	13.75	BENUE	RIAO
1335122	50783	8.25	12.75	FARO	SAFAIE
1335181	50175	9.75	13.75	KEBI	COSSI
1337101	50983	7.75	15.25	VINA	TOUBORO
1338050	52383	3.75	10.25	SANAGA	EDEA
1338201	51723	5.75	14.25	LOM	BETARE-OYA
1338252	51717	5.75	11.25	MBAM	MANTOUM
1338400	52230	4.25	11.75	SANAGA	NACHTIGAL
1338600	51536	6.25	12.75	DJEREM	MBAKAOU
1339100	52384	3.75	10.75	NYONG	DEHANE
1340500	52867	2.25	11.75	NTEM	NGOAZIK
1348152	52236	4.25	14.75	KADEI	PANA
1348401	52703	2.75	13.25	DJA	BIE
1362100	40259	29.75	31.25	NILE	EL EKHSASE
1362600	43854	23.75	32.75	NILE	ASWAN DAM
1389100	61606	-21.75	44.25	MANGOKY	BANIAN
1389230	60868	-19.75	44.75	TSIRIBIHINA	BETOMBA
1389470	62707	-24.75	46.25	MANDRARE	AMBOASARY
1389500	60167	-17.75	46.75	IKOPA	ANTSATRANA
1389520	59988	-17.25	47.25	BETSIBOKA	AMBODIROKA
1389600	62178	-23.25	47.25	MANANARA	MAROANGATY
1426380	51692	5.75	-4.75	BANDAMA	TIASSALE
1427500	51688	5.75	-6.75	SASSANDRA	SOUBRE
1428500	51503	6.25	-3.75	COMOE	MBASSO
1445100	55164	-3.75	12.25	KOUILOU	SOUNDA
1445490	55370	-4.25	13.25	NIARI	LOUDIMA
1448050	52873	2.25	14.75	DJA	NGBALA
1448100	53043	1.75	16.25	SANGHA	OUESSO
1472150	52907	2.25	31.75	VICTORIA NILE	PAARA
1472300	53613	0.25	33.25	VICTORIA NILE	OWEN RESERVOIR
1491200	60502	-18.75	27.25	GWAAI	KAMATIVI G/W
1491210	60676	-19.25	27.75	GWAAI	DAHLIA CONTROL SECTION (63351138)
1495240	61405	-21.25	31.25	RUNDE	TOKWE CONFLUENCE D/S C/S
1495700	60684	-19.25	31.75	SAVE	CONDO D/S G/W (63422121)
1526300	51698	5.75	-1.75	PRA	DABOASI
1530100	51877	5.25	-2.75	TANO	ALANDA
1531100	50753	8.25	-2.25	BLACK VOLTA	BAMBOI
1531450	50146	9.75	-0.75	WHITE VOLTA	NAWUNI
1531600	49744	10.75	-0.25	WHITE VOLTA	YARUGU
1531700	51511	6.25	0.25	VOLTA	SENCHI(HALCROW)
1531800	50352	9.25	0.25	OTI	SABARI
1537100	49214	12.25	14.75	CHARI	NDJAMENA(FORT LAMY)
1537150	50179	9.75	15.75	LOGONE	BONGOR
1537180	50789	8.25	15.75	LOGONE	MOUNDOU
1537250	50791	8.25	16.75	PENDE	DOBA
1537300	49982	10.25	17.25	CHARI	BOUSSO
1537450	50988	7.75	17.75	OUHAM	MOISSALA
1537500	50595	8.75	18.75	CHARI	SARH(FORT ARCHAMBAULT)
1537800	49590	11.25	20.75	BAHR AZOUM	AM-TIMAN
1577102	50637	8.75	39.75	AWASH	METAHARA
1577602	49825	10.75	40.25	AWASH	ADAITU
1591470	58571	-13.25	28.25	KAFUE	NDUBENI
1631100	49746	10.75	0.75	OTI	MANGO
1634400	49724	10.75	-10.25	NIGER	KOUROUSSA
1634420	49928	10.25	-9.75	NIANDAN	BARO
1634500	50129	9.75	-9.25	MILO	KANKAN
1634600	49529	11.25	-9.75	TINKISSO	OUARAN
1643100	53935	-0.75	10.25	OGOOUE	LAMBARENE
1643150	54130	-1.25	10.75	NGOUNIE	FOUGAMOU
1643200	53749	-0.25	10.75	OGOOUE	NDJOLE
1643300	53752	-0.25	12.25	OGOOUE	BOOUE
1643400	53940	-0.75	12.75	OGOOUE	LASTOURVILLE
1643420	53386	0.75	12.75	IVINDO	LOA-LOA
1643450	53204	1.25	12.75	IVINDO	MAKOKOU
1644200	54944	-3.25	11.25	NYANGA	TCHIBANGA
